frame_id,x1,y1,x2,y2,confidence,label
0,611,239,645,315,0.6103205680847168,person
0,380,234,403,293,0.5886019468307495,person
0,356,238,379,293,0.5021397471427917,person
0,455,248,477,291,0.41264599561691284,person
0,333,231,348,273,0.3788280189037323,person
0,733,240,752,295,0.3640140891075134,person
0,640,246,668,313,0.34313878417015076,person
0,875,286,960,347,0.31519898772239685,bench
0,810,218,835,295,0.30980029702186584,person
0,433,249,452,289,0.26556631922721863,person
1,611,239,645,315,0.6108954548835754,person
1,380,235,404,293,0.586784839630127,person
1,357,237,380,293,0.48600322008132935,person
1,333,231,348,273,0.39858996868133545,person
1,455,247,477,291,0.39279159903526306,person
1,810,217,835,296,0.3578261137008667,person
1,640,246,668,313,0.33308887481689453,person
1,875,286,960,342,0.32815349102020264,bench
1,436,249,454,291,0.29976361989974976,person
2,379,234,405,293,0.6182313561439514,person
2,611,239,645,315,0.6158286929130554,person
2,357,237,380,293,0.46219560503959656,person
2,333,231,348,273,0.4111752212047577,person
2,455,247,477,291,0.4027120769023895,person
2,640,245,667,313,0.3308703303337097,person
2,876,286,960,345,0.328460693359375,bench
2,810,218,835,296,0.3208172619342804,person
2,434,249,452,289,0.31894370913505554,person
3,611,238,645,315,0.6120791435241699,person
3,380,234,405,293,0.5731902122497559,person
3,357,237,381,292,0.46239256858825684,person
3,334,231,348,273,0.4075074791908264,person
3,455,247,477,291,0.3903137147426605,person
3,876,287,960,343,0.3387196362018585,bench
3,434,249,453,289,0.32883548736572266,person
3,640,245,668,313,0.328711599111557,person
3,810,218,835,296,0.2927515208721161,person
4,612,240,646,315,0.6060452461242676,person
4,381,234,405,292,0.520527720451355,person
4,333,232,348,274,0.4192018210887909,person
4,358,243,380,292,0.39981791377067566,person
4,876,286,960,343,0.3760513365268707,bench
4,455,247,476,291,0.3653707802295685,person
4,641,245,668,313,0.34997865557670593,person
4,810,219,834,295,0.30942702293395996,person
4,434,248,453,289,0.2835893929004669,person
5,612,240,646,315,0.6013604402542114,person
5,381,235,405,293,0.48957204818725586,person
5,333,231,348,274,0.43729767203330994,person
5,876,286,960,343,0.3781636655330658,bench
5,454,248,476,291,0.36044415831565857,person
5,358,244,381,292,0.34944260120391846,person
5,641,244,668,313,0.34340402483940125,person
5,434,248,453,289,0.284086138010025,person
5,811,219,835,295,0.2710285484790802,person
6,611,240,645,315,0.5620724558830261,person
6,333,231,348,274,0.483966201543808,person
6,380,235,406,293,0.46363627910614014,person
6,876,285,960,344,0.38380950689315796,bench
6,454,248,476,291,0.3627859652042389,person
6,640,245,668,313,0.34908002614974976,person
6,362,240,388,294,0.31490370631217957,person
6,511,259,541,326,0.3002746105194092,person
6,811,219,835,295,0.284735769033432,person
6,436,249,455,291,0.2798110246658325,person
7,611,240,645,315,0.5676062703132629,person
7,334,231,348,274,0.4684346318244934,person
7,454,248,475,291,0.36674952507019043,person
7,640,245,668,313,0.3586103320121765,person
7,877,285,960,344,0.35103675723075867,bench
7,380,237,405,294,0.34668588638305664,person
7,436,248,455,291,0.30824005603790283,person
7,512,256,542,325,0.2955629229545593,person
7,359,244,381,292,0.2891291677951813,person
7,811,219,835,295,0.2678850591182709,person
8,612,240,645,314,0.5882976055145264,person
8,363,239,386,294,0.43582966923713684,person
8,381,236,403,293,0.4001903235912323,person
8,454,248,475,291,0.3930811882019043,person
8,511,249,545,326,0.39088520407676697,person
8,642,251,667,312,0.38781702518463135,person
8,333,231,348,274,0.3838469088077545,person
8,810,219,835,295,0.34136345982551575,person
8,877,286,960,344,0.3086923062801361,bench
8,436,249,456,290,0.2656949460506439,person
9,612,240,645,314,0.5993927121162415,person
9,363,239,386,294,0.4715174734592438,person
9,514,251,551,327,0.45478206872940063,person
9,642,251,668,312,0.3938013017177582,person
9,454,248,475,291,0.3924490511417389,person
9,333,231,348,274,0.38645654916763306,person
9,388,236,412,293,0.3546464145183563,person
9,810,219,835,294,0.337300181388855,person
9,877,287,960,344,0.32636207342147827,bench
9,436,249,456,290,0.27062952518463135,person
10,612,239,645,313,0.5796098709106445,person
10,388,236,412,293,0.47215333580970764,person
10,513,262,554,325,0.46851953864097595,person
10,364,236,387,294,0.4257429242134094,person
10,810,219,835,295,0.3967483341693878,person
10,642,247,668,312,0.38667184114456177,person
10,333,231,348,274,0.3767831325531006,person
10,454,248,476,291,0.36216408014297485,person
10,877,287,960,344,0.3270997405052185,bench
10,433,247,452,289,0.3127056956291199,person
11,612,239,645,313,0.5804280638694763,person
11,513,245,554,327,0.5403125882148743,person
11,389,235,413,293,0.46147555112838745,person
11,364,236,388,294,0.4147675931453705,person
11,333,230,348,274,0.39576438069343567,person
11,642,246,668,312,0.37855663895606995,person
11,454,248,476,291,0.35952526330947876,person
11,810,219,834,295,0.35586079955101013,person
11,433,247,452,289,0.3244739770889282,person
11,876,288,960,345,0.29154902696609497,bench
12,390,233,413,293,0.717378556728363,person
12,611,240,644,314,0.5620390176773071,person
12,516,241,552,327,0.5316259860992432,person
12,365,235,388,294,0.47749215364456177,person
12,333,230,348,274,0.40468335151672363,person
12,454,247,477,291,0.3870464563369751,person
12,434,247,452,289,0.3508036136627197,person
12,639,248,668,312,0.32759207487106323,person
12,810,218,834,295,0.31738314032554626,person
12,877,287,960,345,0.30358001589775085,bench
13,391,233,412,294,0.6752620935440063,person
13,611,240,644,313,0.5755028128623962,person
13,518,240,555,326,0.49044641852378845,person
13,365,236,388,294,0.44521474838256836,person
13,454,247,476,291,0.41792601346969604,person
13,333,231,348,274,0.3917641043663025,person
13,382,236,404,295,0.3693142533302307,person
13,434,248,452,289,0.3634716868400574,person
13,640,249,667,312,0.3350917398929596,person
14,392,233,413,294,0.707284152507782,person
14,612,240,643,313,0.5969111919403076,person
14,521,233,557,326,0.5756195187568665,person
14,365,236,386,294,0.5243314504623413,person
14,454,247,476,290,0.4012324810028076,person
14,334,232,348,274,0.39696261286735535,person
14,383,237,403,294,0.34797972440719604,person
14,434,248,452,288,0.34645339846611023,person
14,810,219,834,297,0.3202517032623291,person
14,640,250,668,312,0.31555017828941345,person
14,877,289,960,345,0.3038749396800995,bench
15,392,233,413,294,0.7090418338775635,person
15,612,240,643,313,0.6032470464706421,person
15,364,237,386,294,0.5222036838531494,person
15,525,233,560,320,0.5211515426635742,person
15,334,232,348,274,0.40587469935417175,person
15,454,247,476,290,0.40282052755355835,person
15,811,219,835,297,0.39577436447143555,person
15,434,247,452,288,0.3438429534435272,person
15,384,236,405,294,0.34035590291023254,person
15,641,250,668,312,0.32373398542404175,person
15,877,289,960,345,0.26463285088539124,bench
15,595,249,614,305,0.25649306178092957,person
16,392,233,414,294,0.7001046538352966,person
16,364,236,386,295,0.5822935104370117,person
16,612,242,643,313,0.5602365136146545,person
16,528,235,560,319,0.541537344455719,person
16,333,231,348,274,0.4382936954498291,person
16,811,219,835,298,0.4218241572380066,person
16,642,257,667,311,0.3942490518093109,person
16,455,248,474,289,0.3865373730659485,person
16,434,248,453,288,0.3068292737007141,person
16,384,236,404,294,0.2999586760997772,person
